village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end,s2_pre_date,s2_pre_ndvi_mean,s2_pre_ndwi_mean,s2_pre_cloud_pct,s1_pre_fallback_used,s1_pre_date,s1_pre_vv_db_mean,s1_pre_vh_db_mean,s2_post_date,s2_post_ndvi_mean,s2_post_ndwi_mean,s2_post_cloud_pct,s1_post_fallback_used,s1_post_date,s1_post_vv_db_mean,s1_post_vh_db_mean,actual_rainfall_total_mm,actual_rainfall_loss_window_mm,normal_rainfall_total_mm,normal_rainfall_loss_window_mm,rainfall_deviation_pct,fetch_status,error_log
Sagar (Shivamogga),14.1667,75.0333,2024-06-16,2024-08-09,2024-09-04,2024-06-14,0.0676,-0.0524,100.0,True,2024-06-19,-6.92,-14.64,2024-09-02,0.077,-0.0435,100.0,True,2024-08-30,-6.91,-14.66,1173.3,249.1,1198.43,312.29,-2.1,SUCCESS,
Thirthahalli (Shivamogga),13.7,75.2333,2024-06-12,2024-08-05,2024-09-01,2024-06-14,0.3569,-0.3141,100.0,True,2024-06-07,-7.44,-14.28,2024-09-02,0.6571,-0.5671,0.0,False,,,,1301.6,272.7,1145.55,306.1,13.62,SUCCESS,
Nanjangud (Mysuru),12.1167,76.6833,2024-06-25,2024-08-18,2024-09-14,2024-06-24,-0.026,0.0425,100.0,True,2024-06-26,-6.22,-13.99,2024-09-12,0.3463,-0.3417,12.28,False,,,,435.5,62.3,295.68,78.42,47.29,SUCCESS,
Hunsur (Mysuru),12.31,76.29,2024-06-22,2024-08-15,2024-09-10,2024-06-19,0.4176,-0.4032,26.06,False,,,,2024-09-12,0.412,-0.3965,45.0,False,,,,527.8,130.7,442.2,108.08,19.36,SUCCESS,
Piriyapatna (Mysuru),12.34,76.1,2024-06-20,2024-08-12,2024-09-08,2024-06-19,0.2577,-0.2174,100.0,True,2024-06-19,-6.8,-15.41,2024-09-02,0.5966,-0.513,0.0,False,,,,599.7,161.5,738.34,187.91,-18.78,SUCCESS,
T. Narasipura (Mysuru),12.2133,76.9033,2024-06-28,2024-08-20,2024-09-16,2024-06-26,0.0609,-0.0593,100.0,True,2024-06-26,-6.62,-15.16,2024-09-19,0.3164,-0.3148,31.91,False,,,,381.5,60.5,303.98,85.75,25.5,SUCCESS,
Heggadadevankote (Mysuru),11.9167,76.3333,2024-06-24,2024-08-16,2024-09-12,2024-06-19,0.4497,-0.4125,73.04,True,2024-06-26,-6.97,-13.6,2024-09-17,0.6992,-0.6232,28.27,False,,,,571.9,90.0,509.97,127.85,12.14,SUCCESS,
Maddur (Mandya),12.5833,77.05,2024-07-02,2024-08-24,2024-09-20,2024-07-01,0.0463,-0.0434,100.0,True,2024-06-26,-7.91,-14.71,2024-09-19,0.4045,-0.3887,28.54,False,,,,448.6,63.6,313.95,93.53,42.89,SUCCESS,
Malavalli (Mandya),12.3867,77.0567,2024-07-05,2024-08-28,2024-09-24,2024-07-06,0.0488,-0.0485,100.0,True,2024-07-08,-6.64,-14.24,2024-09-19,0.1824,-0.156,97.88,True,2024-09-18,-7.06,-14.72,382.3,60.5,314.14,93.08,21.7,SUCCESS,
Pandavapura (Mandya),12.4933,76.6667,2024-06-28,2024-08-21,2024-09-17,2024-06-29,0.1436,-0.1309,100.0,True,2024-06-26,-8.09,-15.1,2024-09-12,0.4896,-0.4573,36.3,False,,,,402.3,34.9,301.03,82.13,33.64,SUCCESS,
Krishnarajpet (Mandya),12.66,76.49,2024-06-30,2024-08-22,2024-09-18,2024-06-24,0.294,-0.2679,96.32,True,2024-07-01,-5.33,-14.1,2024-09-22,0.4355,-0.4299,0.86,False,,,,461.0,62.2,375.67,105.51,22.71,SUCCESS,
Kollegal (Chamarajanagar),12.155,77.1183,2024-07-06,2024-08-30,2024-09-26,2024-07-06,0.0611,-0.06,100.0,True,2024-07-08,-6.91,-15.94,2024-09-19,0.3899,-0.3434,0.0,False,,,,377.8,43.2,305.17,89.99,23.8,SUCCESS,
Gundlupet (Chamarajanagar),11.8,76.6833,2024-06-26,2024-08-19,2024-09-15,2024-06-26,0.0414,-0.0417,100.0,True,2024-06-26,-7.05,-14.22,2024-09-17,0.397,-0.3915,55.06,True,2024-09-18,-8.33,-15.34,411.3,54.1,337.85,90.51,21.74,SUCCESS,
Channarayapatna (Hassan),12.9033,76.39,2024-07-01,2024-08-24,2024-09-20,2024-06-29,0.1222,-0.1186,100.0,True,2024-07-01,-4.56,-14.97,2024-09-17,0.1935,-0.2021,79.34,True,2024-09-18,-5.38,-15.5,395.0,39.1,380.66,97.59,3.77,SUCCESS,
Arsikere (Hassan),13.3133,76.2567,2024-06-28,2024-08-20,2024-09-16,2024-06-29,0.0194,-0.0231,100.0,True,2024-07-01,-5.61,-14.55,2024-09-17,0.3404,-0.348,11.9,False,,,,533.4,78.4,375.87,96.04,41.91,SUCCESS,
Holenarasipura (Hassan),12.79,76.24,2024-06-26,2024-08-18,2024-09-14,2024-06-19,0.299,-0.2699,91.31,True,2024-07-01,-5.7,-15.26,2024-09-17,0.278,-0.2497,47.15,False,,,,412.5,70.1,408.55,106.89,0.97,SUCCESS,
Kadur (Chikkamagaluru),13.55,76.01,2024-06-25,2024-08-17,2024-09-12,2024-06-24,0.0128,-0.0072,100.0,True,2024-06-19,-5.87,-15.04,2024-09-17,0.2132,-0.2261,84.77,True,2024-09-11,-6.07,-15.13,461.0,112.5,412.59,99.92,11.73,SUCCESS,
Tarikere (Chikkamagaluru),13.7167,75.8167,2024-06-22,2024-08-15,2024-09-10,2024-06-24,0.0977,-0.0638,100.0,True,2024-06-19,-9.83,-17.21,2024-09-12,0.3456,-0.2484,38.62,False,,,,635.6,156.3,485.14,116.04,31.01,SUCCESS,
Gauribidanur (Chikkaballapur),13.6117,77.5183,2024-07-04,2024-08-27,2024-09-22,2024-07-06,0.0103,0.0368,100.0,True,2024-07-08,-5.07,-14.6,2024-09-19,0.311,-0.3368,2.56,False,,,,487.6,80.0,326.63,99.33,49.28,SUCCESS,
