village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end,s2_pre_date,s2_pre_ndvi_mean,s2_pre_ndwi_mean,s2_pre_cloud_pct,s1_pre_fallback_used,s1_pre_date,s1_pre_vv_db_mean,s1_pre_vh_db_mean,s2_post_date,s2_post_ndvi_mean,s2_post_ndwi_mean,s2_post_cloud_pct,s1_post_fallback_used,s1_post_date,s1_post_vv_db_mean,s1_post_vh_db_mean,actual_rainfall_total_mm,actual_rainfall_loss_window_mm,normal_rainfall_total_mm,normal_rainfall_loss_window_mm,rainfall_deviation_pct,fetch_status,error_log
Koppal Town (Koppal),15.35,76.15,2024-07-02,2024-08-22,2024-09-15,2024-07-04,0.0916,-0.0932,100.0,True,2024-07-01,-6.39,-14.81,2024-09-17,0.1333,-0.1116,100.0,True,2024-09-11,-6.6,-14.97,397.6,85.6,248.5,83.94,60.0,SUCCESS,
Indi (Vijayapura),17.175,75.9533,2024-06-25,2024-08-18,2024-09-12,2024-06-24,0.0218,-0.0003,100.0,True,2024-06-19,-7.11,-14.39,2024-09-07,0.2981,-0.2893,99.71,True,2024-09-11,-6.68,-14.11,694.5,226.0,369.77,134.63,87.82,SUCCESS,
Muddebihal (Vijayapura),16.3333,76.1333,2024-06-28,2024-08-20,2024-09-15,2024-06-29,0.1117,-0.1174,100.0,True,2024-07-01,-6.41,-13.95,2024-09-12,0.3319,-0.3461,43.36,False,,,,522.0,146.6,310.71,112.76,68.0,SUCCESS,
Basavana Bagewadi (Vijayapura),16.5667,75.9667,2024-06-30,2024-08-22,2024-09-18,2024-06-29,0.1708,-0.154,100.0,True,2024-07-01,-7.96,-15.53,2024-09-12,0.3452,-0.366,52.45,True,2024-09-23,-7.6,-14.22,498.0,131.9,351.53,133.69,41.67,SUCCESS,
Sindgi (Vijayapura),16.9167,76.2333,2024-06-22,2024-08-14,2024-09-08,2024-06-24,0.0813,-0.064,100.0,True,2024-06-19,-5.89,-15.21,2024-09-12,0.1851,-0.1942,53.98,True,2024-09-11,-5.6,-14.82,612.9,243.2,314.49,106.53,94.89,SUCCESS,
Ron (Gadag),15.6833,75.7333,2024-06-28,2024-08-22,2024-09-16,2024-06-29,0.1358,-0.1066,100.0,True,2024-07-01,-8.73,-16.96,2024-09-17,0.2652,-0.3174,39.48,False,,,,477.4,100.4,328.26,106.59,45.43,SUCCESS,
Mundargi (Gadag),15.2083,75.8833,2024-07-02,2024-08-26,2024-09-20,2024-07-04,0.0919,-0.0993,100.0,True,2024-07-01,-8.3,-14.72,2024-09-22,0.0422,-0.0314,100.0,True,2024-09-23,-7.24,-13.46,372.0,61.4,278.52,79.76,33.56,SUCCESS,
Nargund (Gadag),15.7167,75.3833,2024-06-25,2024-08-18,2024-09-12,2024-06-24,0.0145,0.0075,100.0,True,2024-06-19,-7.44,-15.32,2024-09-17,0.2238,-0.2242,89.64,True,2024-09-11,-7.28,-14.84,470.6,122.2,328.04,95.33,43.46,SUCCESS,
Shirhatti (Gadag),15.2333,75.5667,2024-07-01,2024-08-24,2024-09-18,2024-06-29,0.0719,-0.0739,100.0,True,2024-07-01,-8.94,-17.0,2024-09-17,0.1925,-0.1644,100.0,True,2024-09-23,-7.96,-14.07,506.8,84.8,360.41,98.1,40.62,SUCCESS,
Ranebennur (Haveri),14.62,75.63,2024-06-22,2024-08-16,2024-09-10,2024-06-24,-0.0001,0.0282,100.0,True,2024-06-19,-6.11,-14.4,2024-09-07,0.2048,-0.2163,83.92,True,2024-09-11,-5.9,-14.17,596.2,168.3,416.93,96.12,43.0,SUCCESS,
Byadgi (Haveri),14.6733,75.4867,2024-06-24,2024-08-18,2024-09-12,2024-06-24,0.2142,-0.2103,100.0,True,2024-06-19,-6.92,-14.85,2024-09-12,0.1457,-0.1194,100.0,True,2024-09-11,-6.28,-14.26,672.3,164.5,390.26,92.29,72.27,SUCCESS,
Hangal (Haveri),14.7633,75.1233,2024-06-20,2024-08-14,2024-09-08,2024-06-19,0.1554,-0.1481,100.0,True,2024-06-19,-6.56,-14.72,2024-09-07,0.0028,0.0272,100.0,True,2024-09-11,-5.51,-13.74,794.2,212.8,684.53,143.56,16.02,SUCCESS,
Hirekerur (Haveri),14.4567,75.3933,2024-06-26,2024-08-20,2024-09-15,2024-06-24,0.0728,-0.0534,100.0,True,2024-07-01,-7.1,-14.93,2024-09-17,0.4563,-0.4309,31.49,False,,,,639.8,129.2,465.92,106.16,37.32,SUCCESS,
Bellary Town (Bellary),15.1394,76.9214,2024-07-08,2024-09-01,2024-09-28,2024-07-09,0.2712,-0.2995,26.01,False,,,,2024-09-27,0.1367,-0.1414,100.0,True,2024-09-30,-3.74,-13.1,349.1,69.8,268.86,95.28,29.84,SUCCESS,
Hospet (Bellary),15.2689,76.3909,2024-07-05,2024-08-28,2024-09-22,2024-07-04,0.0985,-0.0934,100.0,True,2024-07-01,-6.11,-13.52,2024-09-17,0.2455,-0.2676,15.63,False,,,,357.9,71.4,265.14,88.89,34.99,SUCCESS,
Sandur (Bellary),15.0833,76.55,2024-07-10,2024-09-03,2024-09-30,2024-07-09,0.0833,-0.0569,100.0,True,2024-07-13,-7.32,-15.54,2024-10-02,0.2726,-0.2423,98.05,True,2024-10-05,-5.52,-12.98,406.7,95.7,356.03,125.56,14.23,SUCCESS,
Siruguppa (Bellary),15.6333,76.8967,2024-07-12,2024-09-05,2024-10-01,2024-07-14,0.0864,-0.0893,100.0,True,2024-07-13,-7.7,-16.14,2024-10-02,0.4161,-0.4067,0.0,False,,,,383.8,85.6,315.79,118.23,21.54,SUCCESS,
Shorapur (Yadgir),16.52,76.76,2024-06-20,2024-08-15,2024-09-10,2024-06-19,0.08,-0.0832,100.0,True,2024-06-19,-7.15,-15.35,2024-09-12,0.2432,-0.2405,88.88,True,2024-09-11,-6.68,-14.97,733.1,345.7,354.6,120.66,106.74,SUCCESS,
Shahapur (Yadgir),16.6933,76.8433,2024-06-18,2024-08-12,2024-09-06,2024-06-19,0.1675,-0.1688,100.0,True,2024-06-19,-6.14,-15.28,2024-09-12,0.3512,-0.3418,90.98,True,2024-09-11,-5.43,-14.6,689.5,287.6,371.75,120.29,85.47,SUCCESS,
Hunasagi (Yadgir),16.35,76.4667,2024-06-25,2024-08-20,2024-09-15,2024-06-24,0.1001,-0.0741,100.0,True,2024-06-19,-10.45,-18.79,2024-09-12,0.6924,-0.6307,7.59,False,,,,537.7,175.8,332.54,119.48,61.69,SUCCESS,
Surapura (Yadgir),16.4333,76.8,2024-06-22,2024-08-16,2024-09-10,2024-06-24,0.0372,-0.0185,100.0,True,2024-06-19,-7.4,-17.66,2024-09-12,0.1243,-0.0888,100.0,True,2024-09-11,-9.59,-17.45,616.3,280.3,350.93,117.43,75.62,SUCCESS,
Jamkhandi (Bagalkot),16.5,75.2833,2024-06-28,2024-08-22,2024-09-16,2024-06-27,0.0738,-0.071,100.0,True,2024-07-01,-8.82,-15.74,2024-09-20,0.4793,-0.5084,5.27,False,,,,519.6,99.7,338.17,113.3,53.65,SUCCESS,
Badami (Bagalkot),15.9167,75.6833,2024-07-01,2024-08-25,2024-09-20,2024-06-29,-0.0485,0.0767,100.0,True,2024-07-01,-9.19,-16.5,2024-09-17,0.2292,-0.2266,82.44,True,2024-09-23,-9.38,-16.11,514.7,75.8,318.52,102.08,61.59,SUCCESS,
Bilgi (Bagalkot),16.35,75.6167,2024-06-30,2024-08-24,2024-09-18,2024-06-29,0.2158,-0.2157,100.0,True,2024-07-01,-7.65,-16.13,2024-09-12,0.3475,-0.3557,12.07,False,,,,492.7,94.3,342.73,113.27,43.76,SUCCESS,
Mudhol (Bagalkot),16.3333,75.2833,2024-06-26,2024-08-18,2024-09-12,2024-06-27,0.0723,-0.0638,100.0,True,2024-07-01,-6.62,-14.26,2024-09-15,0.2925,-0.3065,30.69,False,,,,544.3,152.9,330.37,103.44,64.75,SUCCESS,
Shiggaon (Haveri),14.9917,75.225,2024-06-19,2024-08-13,2024-09-07,2024-06-19,0.1021,-0.1053,100.0,True,2024-06-19,-6.85,-14.72,2024-09-07,0.2972,-0.2856,99.62,True,2024-09-11,-6.48,-14.19,648.9,179.4,451.94,101.19,43.58,SUCCESS,
Hubballi Rural (Dharwad),15.3647,75.124,2024-07-02,2024-08-26,2024-09-20,2024-07-04,0.0731,-0.0643,100.0,True,2024-07-01,-7.2,-13.47,2024-09-22,-0.0098,0.0171,100.0,True,2024-09-23,-6.95,-13.35,,,,,,PARTIAL,Rainfall: Actual rainfall HTTP 429; Climate normal HTTP 429
Kalghatgi (Dharwad),15.1833,74.9667,2024-07-05,2024-08-30,2024-09-24,2024-07-04,0.0522,-0.0459,100.0,True,2024-07-01,-6.65,-14.02,2024-09-20,0.1917,-0.1549,94.02,True,2024-09-23,-6.87,-13.96,,,,,,PARTIAL,Rainfall: Actual rainfall HTTP 429; Climate normal HTTP 429
Jewargi (Kalaburagi),17.0167,76.7833,2024-06-16,2024-08-08,2024-09-02,2024-06-14,0.0127,-0.0051,100.0,True,2024-06-19,-10.25,-19.17,2024-08-28,0.4923,-0.434,37.22,False,,,,,,,,,PARTIAL,Rainfall: Actual rainfall HTTP 429; Climate normal HTTP 429
