village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,pmfby_claims_reported,pmfby_claim_amount_inr,pmfby_sum_insured_inr,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict
Devihosur (Haveri),Haveri,Devihosur,14.7833,75.3833,2024-06-20,2024-08-15,2024-09-10,Kharif,2024,0.2477,0.3734,0.1257,-0.2316,-0.3224,99.22,97.84,-10.2,-17.37,-8.19,-14.48,0,631.7,404.01,-56.36,0,1,Severe,,,,,,,,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Savanur (Haveri),Haveri,Savanur,14.975,75.335,2024-06-18,2024-08-10,2024-09-05,Kharif,2024,0.027,-0.0245,-0.0515,-0.0362,0.0509,100.0,100.0,-6.6,-14.39,-6.3,-13.94,0,586.4,446.34,-31.38,0,1,Severe,,,,,,,,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
Gokak (Belagavi),Belagavi,Gokak,16.1667,74.8333,2024-06-25,2024-08-20,2024-09-15,Kharif,2024,0.0323,0.3644,0.3321,-0.0239,-0.3839,100.0,40.98,,,,,0,483.6,411.66,-17.48,0,1,Severe,,,,,,,,FALSE,FALSE,TRUE,NO_DATA,INCONSISTENT
